bed_room,builder,posession,price,price_per_sqft,super_area,title
3 BHK,Carbon Cornerstone,Ready To Move, ₹94.33 L - 96.91 L,5500/Sq.Ft.,1715 - 1762,3 BHK Residential Apartmentin Hennur Road
2 BHK,Salarpuria Sattva Melody,Ready To Move, ₹82.09 L,6636/Sq.Ft.,1237,2 BHK Residential Apartmentin Mysore Road
3 BHK,S2 The Watergrove,Possession in Nov  2019, ₹67.38 L - 1.51 Cr,5500/Sq.Ft.,1225 - 2750,3 BHK Residential Apartmentin Electronic City
4 BHK,Prestige Ferns Residency,Ready To Move, ₹1.71 Cr ,6656/Sq.Ft.,2569 - 2597,4 BHK Residential Apartmentin Haralur Road
3 BHK,Salarpuria Sattva Melody,Ready To Move, ₹99.44 L ,6577/Sq.Ft.,1512 - 1520,3 BHK Residential Apartmentin Mysore Road
3 BHK,Orchid Lakeview,Ready To Move, ₹1.11 Cr ,6188/Sq.Ft.,1800 - 1830,3 BHK Residential Apartmentin Bellandur
3 BHK,RS Sanchike,Ready To Move, ₹59.62 L - 60.12 L,3600/Sq.Ft.,1656 - 1670,3 BHK Residential Apartmentin Kengeri Satellite Town
2 BHK,Kolte Patil Raaga,Ready To Move, ₹52.98 L ,5648/Sq.Ft.,938 - 1078,2 BHK Residential Apartmentin Hennur Road
4 Bedroom,Goyal Alanoville,Possession in Mar  2019, ₹2.53 Cr ,8555/Sq.Ft.,2957 - 3450,4 Bedroom Independent House/Villain Hennur Road
3 BHK,Salarpuria Sattva Luxuria,Ready To Move, ₹2.98 Cr,13470/Sq.Ft.,2215,3 BHK Residential Apartmentin Malleshwaram
