bed_room,builder,posession,price,price_per_sqft,super_area,title
2 BHK ,SSB Royale,Possession in Jul  2018, ₹39.62 L - 47.81 L,3900/Sq.Ft.,1016 - 1226,2 BHK Residential Apartmentin Hosa Road
2 BHK ,Jeevans Grandeur,Possession in Dec  2020, ₹41.4 L - 43.92 L,3600/Sq.Ft.,1150 - 1220,2 BHK Residential Apartmentin Kadugodi
3 BHK ,S2 The Watergrove,Possession in Nov  2019, ₹67.38 L - 1.51 Cr,5500/Sq.Ft.,1225 - 2750,3 BHK Residential Apartmentin Electronic City
4 BHK ,Prestige Ferns Residency,Ready To Move, ₹1.71 Cr ,6656/Sq.Ft.,2569 - 2597,4 BHK Residential Apartmentin Haralur Road
3 BHK ,Salarpuria Sattva Melody,Ready To Move, ₹99.44 L ,6577/Sq.Ft.,1512 - 1520,3 BHK Residential Apartmentin Mysore Road
3 BHK ,Orchid Lakeview,Ready To Move, ₹1.11 Cr ,6188/Sq.Ft.,1800 - 1830,3 BHK Residential Apartmentin Bellandur
3 BHK ,RS Sanchike,Ready To Move, ₹59.62 L - 60.12 L,3600/Sq.Ft.,1656 - 1670,3 BHK Residential Apartmentin Kengeri Satellite Town
4 Bedroom ,Goyal Alanoville,Possession in Mar  2019, ₹2.53 Cr ,8555/Sq.Ft.,2957 - 3450,4 Bedroom Independent House/Villain Hennur Road
2 BHK ,Kolte Patil Raaga,Ready To Move, ₹52.98 L ,5648/Sq.Ft.,938 - 1078,2 BHK Residential Apartmentin Hennur Road
2 BHK ,SM Gardenia,Possession in Dec  2020, ₹28.95 L - 38.91 L,3100/Sq.Ft.,934 - 1255,2 BHK Residential Apartmentin Varthur Road
3 BHK ,DSR Lotus Towers,Possession in Sep  2019, ₹89.03 L - 1.03 Cr,5857/Sq.Ft.,1520 - 1759,3 BHK Residential Apartmentin Whitefield
3 BHK ,Prestige Pine Wood,Possession in Jun  2020, ₹2.33 Cr ,12669/Sq.Ft.,1839 - 1866,3 BHK Residential Apartmentin Koramangala
3 BHK ,Jai Bharathi Mansion,Ready To Move, ₹60.72 L - 96.6 L,4600/Sq.Ft.,1320 - 2100,3 BHK Residential Apartmentin Horamavu Agara
2 BHK ,Salarpuria Sattva East Crest,Possession in Mar  2019, ₹72.09 L ,6231/Sq.Ft.,1157 - 1182,2 BHK Residential Apartmentin Old Madras Road
3 BHK ,Salarpuria Sattva Celesta,Ready To Move, ₹1.03 Cr - 1.22 Cr,6531/Sq.Ft.,1582 - 1873,3 BHK Residential Apartmentin Old Madras Road
3 BHK ,Ahad Excellencia,Possession in Aug  2020, ₹64.33 L - 68.87 L,4779/Sq.Ft.,1346 - 1441,3 BHK Residential Apartmentin Sarjapur  Road
,Orchid Nirvana,Immediate Possession, ₹97.02 L ,3234/Sq.Ft.,3000 - 5634,Residential Land/Plotin IVC Road
3 BHK ,Infant Grace,Possession in Sep  2018, ₹58.01 L - 60.05 L,4071/Sq.Ft.,1425 - 1475,3 BHK Residential Apartmentin Ramamurthy Nagar
